id;texto;anotacao
1021568769729159168; "aquecimento global causará onda de suicídios nos eua, dizem cientistas: via @sputnik_brasil";" "
1017904015970131969; "o feels like summer do childish gambino é um political statement acerca do aquecimento global disfarçado por uma chill vibe";" "
1021531415643607042; "@araujo_kimy o da terra plana é o mesmo do "aquecimento global é uma farsa"?";" "
1022241037673226240; "verão na inglaterra + aquecimento global + casas feitas com insulação pro inverno = euzinha na cama com um saco de gelo porque é o único jeito ?????";" "
1017712583200116736; "@fesous1 @ho0dlumx @quebrandootabu “a vida não pede que você filosofe sobre aquecimento global” . pensa no que você está falando que você mesmo vai mudar de opinião. @choquedecultura";" "
1022465348778569728; "ninguém quer saber com o nudes do felipe neto vamo falar de aquecimento global falar assuntos construtivos galera deixa o felipe neto pra lá que ninguém quer saber não";" "
1021014003932385280; "- pai, o que é um retardado? - filho, é só perguntar se ele acredita em "consenso científico sobre aquecimento global", e ele responder que "sim".";" "
1018577540947079171; "meu deus do céu mas o que foi que aconteceu nessa tarde que eu dormi no fresqyinho acordei com esse sol na minha cara calor p porra tempo doido mano ala o aquecimento global so nao vê quem nao quer";" "
1018657818713391104; "@andrflorencio1 @folha kolinda é a favor do aborto, a favor do casamento homoafetivo e, de quebra, defende pautas ambientais que combatem o aquecimento global. certeza que quer usar ela pra falar da dilma?";" "
1016412268739923968; "desmatamento em alta pode minar chance de o brasil cumprir meta contra aquecimento global https://t.co/q4tczqbrsf via @estadao";" "
1022480937827885056; "@annearquista @lufreitas @rubinhonunesmbl @mblivre hum, o senso comumum? uma coisa que falam e sem base alguma na realidade ou uma grotesca distorção da realidade aquecimento global não é fake news o bolsonaro comer criancinhas de café da manhã é";" "
1014981251940438016; "porque somos as culpadas do aquecimento global";" "
1024345235315470336; "-posso twittar na minha propria conta -não britney, só a sua acessoria é permitida -só um tweet, é sobre aquecimento global! -blz toma aqui britney:";" "
1022177676738605057; "@joelex76 ele não tem nada a ver diretamente, mas supostamente os states contribuiam com uma boa parte no investimento contra o aquecimento global e ele diz que é tudo mentira e cancelou isso ou lá o que foi, então ya, acho que é a isso que ela se refere";" "
1022137487823699968; "@ramoncardosos @escbia bia, mandei um textinho pro ramon que fala isso, no futuro se outra civilização olhar pras galáxias fundidas talvez nem vá saber o que tinha antes, que nem a gente e aquecimento global é uma mistura de processo natural com influência humana. +";" "
1018598642737930243; "@pscoponi a matriz do aquecimento global vem de londrina e eu posso provar";" "
1015756074748608512; "efeitos do aquecimento global";" "
1020098921455144960; "“o que está acontecer com este verão?” bitches diz-se aquecimento global, agora acreditam? ninguém mandou vocês poluírem para caralho e agora as estações estarem todas misturadas";" "
1022575646780874754; "top 3 coisas engraçadas que já me aconteceram no ônibus: 3. o dia que uma mulher disse que a culpa do aquecimento global era dos astronautas; 2. o dia que entrou uma perereca voando pela janela; 1. o dia que o motorista esqueceu o cobrador na rodoviária.";" "
1018999945624514561; "alguém acha que o aquecimento global é uma coisa boa? eu amo lady gaga. eu acho ela uma artista muito interessante.";" "
1023001868614688769; "joão batista natali/a europa sofre com o aquecimento global via @youtube";" "
1023701215660650496; ""há cientistas relevantes, os quais eu não respeito nenhum, que dizem que o aquecimento global não se sustenta" @cirogomes #conhecereleições2018";" "
1017042692067471361; "“ah mas se tem aquecimento global, porque está tão frio no inverno está até nevando mais!” ?";" "
