id;texto;anotacao
1019038019683307520; "como o multiculturalismo pode acabar com o aquecimento global. entenda.";" "
1017608159899381760; "se existe aquecimento global acho que ele não chego na laguna";" "
1017384225039962112; "#mudançasclimáticas aproximadamente 20% das emissões de gases do efeito estufa são causadas pelo #desmatamento, revela relatório da fao via @ecodebate";" "
1014351769231675392; "cada pergunta ajuda na plantação de árvores para combater o aquecimento global, vem gente";" "
1018189179799375873; "o sol hoje atingiu um novo nível de aquecimento global. estou torrando";" "
1024314322514792451; "o aquecimento global é causado pelo lobby dos ares condicionados";" "
1022632325073526790; "eu fico mt mal com essas coisas, a falta de chuva está ligada diretamente com ações humanas aquecimento global, poluição do ar e de água, uso abusivo de água e recursos naturais... realmente, o mundo só vai parar de destruir a natureza quando perceber que dinheiro não se come";" "
1022227455032131594; "estou muito mal doente será se é saudade ou só mudança climática mesmo? aposto nos dois";" "
1015316856192798722; "@jovemhan efeito estufa !!!";" "
1022026772458692612; "com a capacidade de destruição do ser humano e produzir coisas sem ter noção ou responsabilidade sobre as mesmas, eu não consigo acreditar que ainda tem alguém que pense que a gente não interferiria no aquecimento global";" "
1018201443751419904; "@alanagbrs aquecimento global";" "
1014700745176895490; "o general queria vender a teoria do roubo de nuvens, mas o responsável pela meteorologia já estava comprometido com a teoria do aquecimento global ? resultado: não se entenderam.";" "
1020694252458831874; "humanos de merda olha o que vcs fizeram olha o aquecimento global";" "
1020457319996456961; "pra mim, movimentos veganistas/vegetarianistas são muito mais ideológicos do que necessariamente saudáveis e há controvérsias sobre a realidade do e/ou "aquecimento global". agora a onda globalista é "criminalizar" a produção de carne acusando-a de causar o "efeito estufa".";" "
1021519626566606848; "me tornei o que eu mais temia a pessoa que reclama da mudança climática argumentando que não tem saúde que aguente";" "
1021568434658787328; "@metsul @afp em 1976 alguém falava de aquecimento global?";" "
1019263094009319424; "@camaradeputados não existe aquecimento global.";" "
1015298329893367814; "hoje tem baile da f aquecimento global gargalhada";" "
1018190912734793729; "curso da onu meio ambiente e do instituto da onu para formação e pesquisa tem duração de 3 horas e trata do regime jurídico internacional de mudança climática, incluindo mecanismos da convenção-quadro e compromissos assumidos pelas partes https://t.co/ouqsu4zvsr";" "
1016058762602393600; "@safbf saquei. tipo algumas pesquisas sobre o “não” aquecimento global.";" "
1014965392060674048; "@sduartek não vai mais existir frio. aquecimento global tomou conta";" "
1023366537820954624; "@epahyh07 para conversarmos sobre o aquecimento global ?";" "
1017933379709399040; "@madstymest não sei se você percebeu mas você está usando sua boca pra ficar enchendo o mundo de fumaça, você não tem vergonha na cara de estar contribuindo para o aquecimento global não? deveria ter vergonha de si. block";" "
1014486548992098311; "qual seu pensamento para o aquecimento global — mano eu mal sei da minha vida vou saber do aquecimento global";" "
1020079042677092352; "@gcamarotti @sergioaguiar07 @rjpcerqueira @globonews humm, que bom, acordei mesmo com uma vontade de ser enganado !!! vão falar mal do trump ? vão dizer que há muito preconceito com a pedofilia ? vão falar sobre o aquecimento global ? e sobre a importância do desarmamento? vai ter especialista da usp ? não vejo a hora !";" "
1022970821646737411; "vocês não estão bué preocupados com o nosso mundo? tipo por todas as notícias que já ouvimos por toda a desgraça que temos vindo a "aceitar" para não falar no tempo e nas alterações climáticas e aquecimento global";" "
1022861506730442753; "mas tem um sujeito em embu das artes que está sentindo frio, por isso aquecimento global não existe!";" "
1021159472797048833; "@dozepontozero olha aí o canudo de plástico. contribuindo pro aquecimento global";" "
1024411810525601793; "este ponto será o ponto mais quente para ondas de calor mortais no futuro, especialmente sob a mudança climática. leia mais: https://t.co/kvxoqkholc";" "
1019347826348904449; "uso do biodiesel de soja pode reduzir emissões de gases de efeito estufa via @glamurama";" "
1024126786177839104; "moro em são paulo há 17 anos e eu devia me acostumar com a mudança climática, mas é impossível se adaptar";" "
1018622810938372096; "@julhous parabéns bixo eu gostaria de parar por causa do aquecimento global as geleira tão sumindo";" "
1024435569361858560; "depois dos que negam o holocausto, negam a ditadura, negam o aquecimento global e negam a terra redonda, nos preparemos para mais um grupo de idiotas: aqueles que negam a escravidão";" "
1017853471939276800; "mas o aquecimento global é uma "farsa" criada pelos chineses para prejudicar as indústrias americanas. ? iceberg gigante se aproxima da groenlândia e pode causar tsunami @uol";" "
1021158834004426753; "@gugachacra nao existe aquecimento global... existe antas globais...";" "
1024131406249816064; "isso é o aquecimento global";" "
1021746166466260992; "rios em aquecimento fazem uma contribuição marcante para os níveis globais de gases de efeito estufa";" "
1020990864779358208; "será que com a suécia em chamas ainda há pessoal que diz que o aquecimento global é hoax?";" "
1016762131159633921; "@pcfilho mas efeito estufa e facilmente comprovado com uma plantação";" "
1020061936317288450; "bem-vindo aquecimento global";" "
1015990973049040896; "@danielpozzetti @smith_hays lembrando que não acreditar no aquecimento global não significa automaticamente querer destruir a natureza, como muitos alarmistas da mídia pensam !!!";" "
1016341486265356290; "tribuna do sertão - brasil corre risco de não cumprir meta contra aquecimento global";" "
1017071739703123974; "mudança climática: as emissões mundiais de co2 voltam a crescer em 2017 via @elpais_brasil";" "
1022528401817657345; "o aquecimento global é de tal forma que até em marte já há água em estado líquido.";" "
1022529342621069312; "a colômbia tem trabalhado nos últimos anos na concepção e implementação de três iniciativas interessantes para a redução de gases de efeito estufa gee nos setores produtivos...";" "
1017902641412820992; "@95artt o menino está defendendo liberdade econômica, pra mim é a mesmo coisa de dizer fodase todo mundo eu quero dinheiro pra mim, aquecimento global???? coisa de esquerda";" "
1015952017028722688; "imaginem quando o aquecimento global ficar pior";" "
