1029456077442699265;" ""@leandro_vcastro @anapaulavolei ah sim mais lindo ainda é ter terra com área desmatada ilegalmente, um latifúndio ou um berço de pastagem eterna contribuindo com muito gás metano para o efeito estufa. e viva o progresso.""";3
1026246231775961090;" ""@pridexiwt segundo o trump o aquecimento global não existe, acho que você está ficando louca""";2
1029723491996553218;" ""gostei de um vídeo @youtube moura x ricardo felício - aquecimento global.""";5
1028799276917436417;" ""essas notícias sobre aquecimento global me faz ter mais certeza que maze runner previu tudo e que vamos virar vários cranks por aí, agora se vai ter pessoas com a possibilidade de fazer uma cura isso eu não tenho muita certeza""";5
1033153263162601473;" ""essa mudança climática só faz minha rinite atacar socorro-""";1
1028983196447375360;" ""@airessousa83 @theonenuno @antoniocostapm @catarina_mart um dia o que resta do gerês arderá e os eucaliptos já estiveram mais longe. a ganância do português é que fará perder este país. a mudança climática, a desertificação em curso no país vai acelerar-se muito. o nosso país, em poucos anos, já perdeu muita da sua graça.""";1
1026944571002023936;" ""vamos a tempo de conseguir travar o aquecimento global? ou teremos de nos adaptar a um planeta cada vez mais quente?""";1
1024436594403680262;" ""uma geleira no meio do litoral que topper hein aquecimento global otemponãopara""";1
1032981580401319936;" ""2018. recordes de temperatura continuam sendo batidos, mês após mês, e ainda tem gente que nega o aquecimento global antropológico, ou justifica em nome de crescimento econômico. economia nunca, jamais, de forma alguma, deveria vir antes de ecologia, ainda mais agora""";1
1024500301641015297;" ""afirmar que não existe aquecimento global pra estacionar na vaga de deficiente é belo e moral""";1
1024498995526348800;" ""certeza que foi daquele meme do jack na praia depois do aquecimento global.""";5
1029171840013492229;" ""“aquecimento global é lenda”. pois é""";3
1035543940613763074;" ""o aquecimento global obriga ue a manter a hora de verão!!""";5
1026121854849826817;" ""o aquecimento global""";5
1023961605401444353;" ""aquecimento global pode ser muito pior do que o previsto https://t.co/k4ysd8iqgj""";5
1035497310493581313;" """"um artigo publicado pelo institute for agriculture and trade policy (iatp), heinrich boll foundation e pela grain, revela que só em 2016 a brasileira jbs, a cargill e a tyson foods – as duas dos eua, geraram mais gases de efeito estufa do que a frança.""""";5
1029729475972542466;" ""aquecimento global: oceano mais quente, inverno mais quente na eurásia aquecimentoglobal mudançasclimáticas clima oceanos""";1
1024307374260142080;" ""to morrendo e a causa da morte é efeito estufa""";1
1028807616309411840;" ""aquecimento global (??)""";5
1027353833125629952;" ""@janinhx agr sim tweeta assim gente aquecimento global é uma mentira""";2
1028808610606972929;" ""estamos vendo ondas de calor no hemisfério norte. maiores temperaturas da história. cadê agora os negacionistas da ciência e do aquecimento global pra falar groselha? sim, esse argumento é ridículo. clima é diferente de tempo. mas eles usam quando faz frio ?????""";1
1028055420349415424;" ""o dia que pegar fogo nos eua inteirinho e na europa toda, voces vão entender o que é a mudança climatica. vai chegar ao ponto em que a natureza vai voltar-se contra o homem e o verá. portugal tem incêndios. macron fará barragens na europa. fazer energia solar. @realdonaldtrump""";1
1025511927047278592;" ""@outralilla bagulho está tenso aqui. mês mais quente da história. e dizem que aquecimento global é mito. ????""";1
1025175615681572865;" ""juntamente com esta gj estão as pessoas que acham que o trump não acredita no aquecimento global""";5
1028799288296366080;" ""sinto informar mas sim o aquecimento global ainda vai matar muita gente""";1
1024308413487099904;" ""- o pikachu atômico está cumprindo o acordo - não houve tortura - o aquecimento global é uma invenção - o homem nunca esteve na lua - a terra é plana""";5
