id;texto
1022488283979436032; "ouvi um podcast sobre aquecimento global, e a vontade de ter filhos diminuiu para praticamente nula"
1022819128795639808; "grupo vai pressionar presidenciáveis por ações contra efeito estufa"
1019756377986781185; "a vontade de morrer está igual o aquecimento global, só aumentando"
1016512417361260544; "queria o sangue frio "let it go" para não tentar melhorar as coisas e depois só mandar "eu avisei" deixar o povo falar que a terra é plana, vacina faz mal, desmatamento é ok, aquecimento global é farsa, que resolver criminalidade é só armar polícia com armadura do homem de ferro"
1022534113184628737; "i liked a @youtube video aquecimento global | g20 e teorias da conspiração"
1023454161092976642; "@eikebatista no globo , cientistas dizem que onda de calor na europa é sinal do aquecimento global. a atual onda de calor que atinge a europa é um "sinal inequívoco" da mudança climática que a tornou "mais provável", de acordo com um estudo preliminar que não chega a atribuir"
1015637316906508288; "estão exagerando no carvão. via @exame"
1016913508326428672; "@eikebatista suspensão de ratificação de terras indígenas, redução de áreas protegidas e flexibilização da regularização fundiária – podem impactar a capacidade do país de conseguir cumprir suas metas de redução de emissões de gases de efeito estufa."
1023904716928020480; "estamos praticamente em agosto e está a chover e o trump diz que não há aquecimento global"
1016374169850798080; "‘barganhas políticas’ ameaçam metas para conter o aquecimento global. https://t.co/04hylcvgs0"
1016709119800168449; "@da_cia @ostralha ainda mais agora que estamos sem o toretto e suas frases aqui no twitter!! aquela sobre aquecimento global é excelente!! :-)"
1017474373740048384; "discutindo sistemas econômicos políticas afirmativas e aquecimento global 14h da tarde"
1017046116066619392; "triste demais trouxe um monte de blusinha de verão pra chape e fez esse frio do djabo está feliz aquecimento global"
1021337304881823744; "@angelicaguirele @turcorj @pablinecorreia @mblivre @theinterceptbr o estudo de aquecimento global envolve cientistas do mundo inteiro de diferentes área da ciência. existem literalmente milhares de artigos no science direct sobre o assunto. l e i a!!!!"
1021862370145173504; "não me tentem enganar eu sei bem que o aquecimento global não existe nos è que nos tamos a aproximar do sol"
1022239096041877505; "isto tudo e vocês a darem importância ao facto do trump achar que o aquecimento global não é real"
1015754955943239680; "@ajulysantos quando divulgaram na @veja que os dinossauros foram culpados pelo aquecimento global de tanto soltarem puns, eu entendi o que acontece com os "ispicialistas" de porr@ nenhuma."
1015276066842259456; "o efma num contexto de mudança climática"
1021677968735780864; "global warming = aquecimento global, como diz o nome este tópico trata apenas a subida da temperatura a nível global e as mudanças que daí advêm. alterações climáticas é que não é apenas sobre o calor, oq é que estás para aí a dizer"
1022893597593612291; ""alguns se conheceram no instagram. outros se coordenaram durante o horário do almoço por conferências. a maioria nem sequer se formou..." - conheça os adolescentes que lideram o movimento de mudança climática #zerohour https://t.co/cpsecotpeo #resiliência #rsresiliente #nyt"
